Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Snowboard binding mount (product.metafields.test_data.binding_mount),Snowboard length (product.metafields.test_data.snowboard_length),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Canada,Price / Canada,Compare At Price / Canada,Status
dominant-kad-n-7-gun-baskl-pamuklu-likral-kulot-37000-704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/mnresize/620/920/ty1932/prod/QC_ENRICHMENT/20260618/11/a7681a31-5479-3e95-9227-20175a4f21ad/1_org_zoom.jpg,2,Dominant Kadın 7 Gün Basklı Pamuklu Likralı Külot 37000-704,,,,,,,,,,,,,
dominant-kad-n-7-gun-baskl-pamuklu-likral-kulot-37000-704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/mnresize/620/920/ty1935/prod/QC_ENRICHMENT/20260618/11/f1e212c4-5eed-3fbc-9fea-873a79800bdf/1_org_zoom.jpg,3,Dominant Kadın 7 Gün Basklı Pamuklu Likralı Külot 37000-704,,,,,,,,,,,,,
dominant-kad-n-7-gun-baskl-pamuklu-likral-kulot-37000-704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/mnresize/620/920/ty1927/prod/QC_ENRICHMENT/20260618/11/aa6866b1-f451-38ce-97fe-be41d7f394cf/1_org_zoom.jpg,4,Dominant Kadın 7 Gün Basklı Pamuklu Likralı Külot 37000-704,,,,,,,,,,,,,
dominant-kad-n-7-gun-baskl-pamuklu-likral-kulot-37000-704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/mnresize/620/920/ty1943/prod/QC_ENRICHMENT/20260618/11/4e69cc06-7528-37a4-8bea-7c98b6b16f18/1_org_zoom.jpg,5,Dominant Kadın 7 Gün Basklı Pamuklu Likralı Külot 37000-704,,,,,,,,,,,,,
dominant-kad-n-7-gun-baskl-pamuklu-likral-kulot-37000-704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/mnresize/620/920/ty1906/prod/QC_ENRICHMENT/20260618/11/a7cb6b99-4965-34ae-91f6-bfa1b0dff5d6/1_org_zoom.jpg,6,Dominant Kadın 7 Gün Basklı Pamuklu Likralı Külot 37000-704,,,,,,,,,,,,,
dominant-kad-n-7-gun-baskl-pamuklu-likral-kulot-37000-704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/mnresize/620/920/ty1943/prod/QC_ENRICHMENT/20260618/11/c35956ae-822c-335d-98d5-043ae6cd60ee/1_org_zoom.jpg,7,Dominant Kadın 7 Gün Basklı Pamuklu Likralı Külot 37000-704,,,,,,,,,,,,,
dominant-kad-n-7-gun-baskl-pamuklu-likral-kulot-37000-704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/mnresize/620/920/ty1942/prod/QC_ENRICHMENT/20260618/11/35c32cfa-991f-3cd1-8839-4719fea7b194/1_org_zoom.jpg,8,Dominant Kadın 7 Gün Basklı Pamuklu Likralı Külot 37000-704,,,,,,,,,,,,,
dominant-kad-n-7-gun-baskl-pamuklu-likral-kulot-37000-704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/mnresize/128/192/ty1931/prod/QC_ENRICHMENT/20260618/11/61199ec7-77b5-392a-bbdb-15242f0db144/1_org_zoom.jpg,9,Dominant Kadın 7 Gün Basklı Pamuklu Likralı Külot 37000-704,,,,,,,,,,,,,
dominant-kad-n-7-gun-baskl-pamuklu-likral-kulot-37000-704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/mnresize/128/192/ty1915/prod/QC_ENRICHMENT/20260618/11/b8d99d79-13c9-3bdc-bcfb-556ee7154aba/1_org_zoom.jpg,10,Dominant Kadın 7 Gün Basklı Pamuklu Likralı Külot 37000-704,,,,,,,,,,,,,
dominant-kad-n-camas-r-pamuklu-renkli-tanga-7-li-paket-s-m-l,Dominant Kadın Çamaşır Pamuklu Renkli TANGA 7'li Paket (S-M-L),"<p><a href=""https://www.trendyol.com/dominant/kadin-camasir-pamuklu-renkli-tanga-7-li-paket-s-m-l-p-1075834205?boutiqueId=61&merchantId=4341&filterOverPriceListings=false&sav=true"" rel=""nofollow"">Trendyol kaynak</a></p>
<p>Kaynak ID: 1075834205</p>",Dominant,Apparel & Accessories > Clothing > Underwear & Socks > Underwear,Kadın Tanga,"trendyol-import, Kadın, Külot, Tanga, dominant",true,Beden,S,,,,,,,,1075834205-2,0.0,shopify,100,deny,manual,321.00,,true,true,,,,,,https://cdn.dsmcdn.com/mnresize/620/920/ty1922/prod/QC_ENRICHMENT/20260617/13/abfb678c-21af-31f2-95ac-727472733519/1_org_zoom.jpg,1,Dominant Kadın Çamaşır Pamuklu Renkli TANGA 7'li Paket (S-M-L),false,Dominant Kadın Çamaşır Pamuklu Renkli TANGA 7'li Paket (S-M-L),,,,,kg,,,,,,active
dominant-kad-n-camas-r-pamuklu-renkli-tanga-7-li-paket-s-m-l,,,,,,,,Beden,M,,,,,,,,1075834205-3,0.0,shopify,100,deny,manual,321.00,,true,true,,,,,,,,,false,,,,,,kg,,,,,,
dominant-kad-n-camas-r-pamuklu-renkli-tanga-7-li-paket-s-m-l,,,,,,,,Beden,L,,,,,,,,1075834205-4,0.0,shopify,100,deny,manual,321.00,,true,true,,,,,,,,,false,,,,,,kg,,,,,,
